<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,24/07/17,000000,69.0610000,70.0890000,69.0147000,69.7390000,101303
EURRUB,D,25/07/17,000000,69.8740000,70.2580000,69.4710000,69.6750000,134111
EURRUB,D,26/07/17,000000,69.7510000,69.9750000,69.2670000,69.6431000,145763
EURRUB,D,27/07/17,000000,69.6800000,69.9960000,69.1200000,69.3320000,150471
EURRUB,D,28/07/17,000000,69.4830000,70.0710000,69.2400000,69.8995000,122806
EURRUB,D,29/07/17,000000,69.9600000,69.9810000,69.7133000,69.7137000,13
EURRUB,D,30/07/17,000000,69.8080000,70.3665000,69.8080000,69.8670000,123
EURRUB,D,31/07/17,000000,69.8790000,71.0100000,69.7153000,70.6895000,109219
EURRUB,D,01/08/17,000000,70.7700000,71.3520000,70.4850000,71.1855000,114572
EURRUB,D,02/08/17,000000,71.2420000,72.0940000,70.9930000,71.6540000,137733
EURRUB,D,03/08/17,000000,71.7880000,72.0180000,71.2240000,71.5410000,134969
EURRUB,D,04/08/17,000000,71.6250000,71.8230000,70.1900000,70.5428000,123548
EURRUB,D,05/08/17,000000,70.5150000,70.6120000,70.3445000,70.3445000,13
EURRUB,D,06/08/17,000000,70.4230000,70.8000000,70.3254000,70.4590000,320
EURRUB,D,07/08/17,000000,70.5383000,71.1840000,70.3940000,70.7755000,28297
EURRUB,D,08/08/17,000000,70.8160000,71.0040000,69.9330000,70.3030000,6951
EURRUB,D,09/08/17,000000,70.3470000,70.7081000,70.1610000,70.5769000,7239
EURRUB,D,10/08/17,000000,70.7470000,70.8110000,69.9630000,70.6940000,7295
EURRUB,D,11/08/17,000000,70.7780000,70.9130000,70.4790000,70.6997000,7422
EURRUB,D,12/08/17,000000,70.7360000,70.7360000,70.4010000,70.4183000,16
EURRUB,D,13/08/17,000000,70.4391000,70.7200000,70.4391000,70.5030000,287
EURRUB,D,14/08/17,000000,70.6780000,70.7790000,70.0014000,70.5176000,7628
EURRUB,D,15/08/17,000000,70.5900000,70.8021000,69.9610000,70.0348000,7605
EURRUB,D,16/08/17,000000,70.0590000,70.2610000,69.3200000,69.8506000,7087
EURRUB,D,17/08/17,000000,69.8740000,70.0070000,69.2030000,69.3968000,7165
EURRUB,D,18/08/17,000000,69.4280000,69.8700000,69.1730000,69.2747000,7377
