<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,24/07/17,000000,59.2844000,60.2012000,59.1872000,59.9790000,237574
USDRUB,D,25/07/17,000000,59.9969000,60.1855000,59.6400000,59.8477000,237270
USDRUB,D,26/07/17,000000,59.8493000,60.0878000,59.2850000,59.4129000,259854
USDRUB,D,27/07/17,000000,59.4066000,59.6490000,59.2313000,59.5292000,248191
USDRUB,D,28/07/17,000000,59.5276000,59.6380000,59.3141000,59.5133000,213572
USDRUB,D,29/07/17,000000,59.5325000,59.5481000,59.4064000,59.5408000,30
USDRUB,D,30/07/17,000000,59.5490000,59.5610000,59.4959000,59.5504000,84
USDRUB,D,31/07/17,000000,59.5334000,60.4435000,59.4448000,59.7556000,253698
USDRUB,D,01/08/17,000000,59.7622000,60.4946000,59.6150000,60.3233000,256058
USDRUB,D,02/08/17,000000,60.3567000,60.8374000,60.2320000,60.5315000,294351
USDRUB,D,03/08/17,000000,60.5554000,60.8430000,60.0392000,60.3259000,282692
USDRUB,D,04/08/17,000000,60.3259000,60.4762000,59.7877000,59.9010000,244009
USDRUB,D,05/08/17,000000,59.9306000,59.9663000,59.7791000,59.9525000,33
USDRUB,D,06/08/17,000000,59.9310000,60.1414000,59.9038000,59.9099000,92
USDRUB,D,07/08/17,000000,59.9803000,60.3222000,59.8089000,60.0170000,184133
USDRUB,D,08/08/17,000000,60.0218000,60.1252000,59.6453000,59.8633000,138139
USDRUB,D,09/08/17,000000,59.8648000,60.2119000,59.8075000,60.1568000,157710
USDRUB,D,10/08/17,000000,60.1633000,60.1640000,59.6656000,60.1117000,160731
USDRUB,D,11/08/17,000000,60.1095000,60.3013000,59.7469000,59.8315000,182897
USDRUB,D,12/08/17,000000,59.8423000,59.8473000,59.5657000,59.8418000,32
USDRUB,D,13/08/17,000000,59.8350000,59.8575000,59.6477000,59.6886000,84
USDRUB,D,14/08/17,000000,59.8281000,59.9178000,59.2382000,59.9178000,161578
USDRUB,D,15/08/17,000000,59.9213000,60.1228000,59.6375000,59.6937000,161140
USDRUB,D,16/08/17,000000,59.6922000,59.8380000,59.2125000,59.3747000,202388
USDRUB,D,17/08/17,000000,59.3706000,59.4771000,58.9388000,59.1698000,156608
USDRUB,D,18/08/17,000000,59.2189000,59.5081000,58.8263000,58.9320000,171666
USDRUB,D,19/08/17,000000,58.9443000,58.9774000,58.7573000,58.9774000,32
USDRUB,D,20/08/17,000000,58.9190000,59.0667000,58.7705000,58.9636000,90
USDRUB,D,21/08/17,000000,58.9573000,59.2330000,58.7450000,59.1295000,183512
USDRUB,D,22/08/17,000000,59.1470000,59.2013000,58.8706000,59.0495000,138196
USDRUB,D,23/08/17,000000,59.0654000,59.2484000,58.9447000,59.0432000,138717
USDRUB,D,24/08/17,000000,59.0581000,59.2707000,58.9940000,59.1249000,124469
USDRUB,D,25/08/17,000000,59.1270000,59.2346000,58.5089000,58.5520000,137629
USDRUB,D,26/08/17,000000,58.5833000,58.6113000,58.3658000,58.5854000,36
USDRUB,D,27/08/17,000000,58.5840000,58.5860000,58.3851000,58.4970000,52
USDRUB,D,28/08/17,000000,58.5075000,58.7332000,58.2907000,58.4381000,121200
USDRUB,D,29/08/17,000000,58.4329000,58.8815000,58.3759000,58.8177000,140544
USDRUB,D,30/08/17,000000,58.8155000,58.9077000,58.2732000,58.3531000,162475
USDRUB,D,31/08/17,000000,58.3451000,58.6555000,57.9438000,58.0165000,180380
USDRUB,D,01/09/17,000000,58.0157000,58.1943000,57.3214000,57.4615000,213848
USDRUB,D,02/09/17,000000,57.4807000,57.4840000,57.4505000,57.4805000,30
USDRUB,D,03/09/17,000000,57.4650000,57.4955000,57.4503000,57.4561000,56
USDRUB,D,04/09/17,000000,57.4650000,57.9539000,57.4506000,57.8135000,118158
USDRUB,D,05/09/17,000000,57.8330000,58.1083000,57.1703000,57.5104000,178059
USDRUB,D,06/09/17,000000,57.5152000,57.6080000,57.2002000,57.3806000,190773
