,target,DAY,WAP_lag_1,WAP_lag_2,WAP_lag_3,WAP_lag_4,WAP_lag_5,VALUE_lag_1,VALUE_lag_2,VALUE_lag_3,VALUE_lag_4,VALUE_lag_5,NUMTRADES_lag_1,NUMTRADES_lag_2,target_lag_1,target_lag_2,target_lag_3,target_lag_4,target_lag_5,petroleum_prise_lag_1,petroleum_prise_lag_2,petroleum_prise_lag_3,petroleum_prise_lag_4,petroleum_prise_lag_5,exchange_rate_eur_lag_1,exchange_rate_eur_lag_2,exchange_rate_eur_lag_3,exchange_rate_eur_lag_4,exchange_rate_eur_lag_5,exchange_rate_usr_lag_1,exchange_rate_usr_lag_2,exchange_rate_usr_lag_3,exchange_rate_usr_lag_4,exchange_rate_usr_lag_5,MICEX_REPO_ACTS_lag_1,MICEX_REPO_ACTS_lag_2,MICEX_REPO_ACTS_lag_3,MICEX_REPO_ACTS_lag_4,MICEX_REPO_ACTS_lag_5,MICEX_REPO_region_lag_1,MICEX_REPO_region_lag_2,MICEX_REPO_region_lag_3,MICEX_REPO_region_lag_4,MICEX_REPO_region_lag_5,Moscow_Stock_Exchange_Finance_Index_lag_1,Moscow_Stock_Exchange_Finance_Index_lag_2,Moscow_Stock_Exchange_Finance_Index_lag_3,Moscow_Stock_Exchange_Finance_Index_lag_4,Moscow_Stock_Exchange_Finance_Index_lag_5,Index_of_the_Moscow_Stock_Exchange_lag_1,Index_of_the_Moscow_Stock_Exchange_lag_2,Index_of_the_Moscow_Stock_Exchange_lag_3,Index_of_the_Moscow_Stock_Exchange_lag_4,Index_of_the_Moscow_Stock_Exchange_lag_5,MOEXREPO_lag_1,MOEXREPO_lag_2,MOEXREPO_lag_3,MOEXREPO_lag_4,MOEXREPO_lag_5,MOEXREPO_USD_lag_1,MOEXREPO_USD_lag_2,MOEXREPO_USD_lag_3,MOEXREPO_USD_lag_4,MOEXREPO_USD_lag_5,accumulation_distribution_lag_1,accumulation_distribution_lag_2,accumulation_distribution_lag_3,accumulation_distribution_lag_4,accumulation_distribution_lag_5,WAP_percent_change_1,WAP_percent_change_2,WAP_percent_change_3,WAP_percent_change_4,VALUE_percent_change_1,VALUE_percent_change_2,VALUE_percent_change_3,petroleum_prise_percent_change_1,petroleum_prise_percent_change_2,petroleum_prise_percent_change_3,petroleum_prise_percent_change_4,exchange_rate_eur_percent_change_1,exchange_rate_eur_percent_change_2,exchange_rate_eur_percent_change_3,exchange_rate_eur_percent_change_4,exchange_rate_usr_percent_change_1,exchange_rate_usr_percent_change_2,exchange_rate_usr_percent_change_3,exchange_rate_usr_percent_change_4,MICEX_REPO_ACTS_percent_change_1,MICEX_REPO_ACTS_percent_change_2,MICEX_REPO_ACTS_percent_change_3,MICEX_REPO_ACTS_percent_change_4,MICEX_REPO_region_percent_change_1,MICEX_REPO_region_percent_change_2,MICEX_REPO_region_percent_change_3,MICEX_REPO_region_percent_change_4,Moscow_Stock_Exchange_Finance_Index_percent_change_1,Moscow_Stock_Exchange_Finance_Index_percent_change_2,Moscow_Stock_Exchange_Finance_Index_percent_change_3,Moscow_Stock_Exchange_Finance_Index_percent_change_4,Index_of_the_Moscow_Stock_Exchange_percent_change_1,Index_of_the_Moscow_Stock_Exchange_percent_change_2,Index_of_the_Moscow_Stock_Exchange_percent_change_3,Index_of_the_Moscow_Stock_Exchange_percent_change_4,MOEXREPO_percent_change_1,MOEXREPO_percent_change_2,MOEXREPO_percent_change_3,MOEXREPO_percent_change_4,MOEXREPO_USD_percent_change_1,MOEXREPO_USD_percent_change_2,MOEXREPO_USD_percent_change_3,MOEXREPO_USD_percent_change_4,accumulation_distribution_percent_change_1,accumulation_distribution_percent_change_2,accumulation_distribution_percent_change_3,accumulation_distribution_percent_change_4,WAP_averege_3,target_averege_6,MICEX_REPO_ACTS_averege_4,MICEX_REPO_region_averege_4,MOEXREPO_averege_4,WAPaverage_geom5,target_consecutive_0,target_consecutive_1,DAY_target_encoding,WAP_Bollinger_Bands_upper_band,WAP_Bollinger_Bands_lower_band,WAP_mov_average_envelopes_upper_band,WAP_mov_average_envelopes_lower_band,exponential_mov_average
2017-08-01,0,2,9.21,9.26,9.3,9.15,9.02,5181650000,4659405000,3387899000,6537394000,3477388000,26,31,0,0,1,1,1,49.795,49.345,48.74500000000001,48.365,47.565,70.6895,69.8995,69.332,69.6431,69.675,59.7556,59.5133,59.5292,59.4129,59.8477,9.27,9.31,9.23,9.13,9.09,9.28,9.3,9.29,9.19,9.16,6896.09,6925.93,7022.96,6971.55,6957.46,1919.53,1916.75,1945.12,1933.1,1923.73,9.19,9.15,9.14,8.95,9.06,1.49,1.51,1.52,1.51,1.53,-20156957362.31889,-15493472362.318876,-10834067362.318876,-9802967666.6667,-5444704999.999995,-0.5399568034557092,-0.43010752688172715,1.639344262295083,1.4412416851441208,11.208405365062717,37.53081186894886,-48.17661288274808,0.9119464991387218,1.2308954764590965,0.7856921327406496,1.6819089666771987,1.130194064335214,0.8185253562568562,-0.44670613456322883,-0.04578399712951864,0.4071358839116641,-0.02670958118032729,0.1957487347024056,-0.7265107932301476,-0.4296455424275081,0.8667388949079111,1.095290251916751,0.44004400440044833,-0.2150537634408778,0.10764262648011425,1.0881392818280773,0.32751091703056545,-0.4308446663480652,-1.3816111724970597,0.7374256800854795,0.20251643559574006,0.14503717229685265,-1.458521839269551,0.62179918265997,0.4870745894694153,0.437158469945345,0.10940919037199137,2.1229050279329726,-1.2141280353201012,-1.324503311258269,-0.6578947368420955,0.6622516556291487,-1.3071895424836697,30.099676114838587,43.006978304431755,10.518240299396808,80.04589168130704,9.256666666666666,0.6666666666666666,9.235,9.264999999999999,9.1075,0.5294803024671353,2,0,0.6325503355704698,9.242028845534916,9.217971154465085,9.4146,9.0454,9.153720703125
2017-08-02,0,3,9.19,9.21,9.26,9.3,9.15,4002500000,5181650000,4659405000,3387899000,6537394000,30,26,0,0,0,1,1,49.4,49.795,49.345,48.74500000000001,48.365,71.1855,70.6895,69.8995,69.332,69.6431,60.3233,59.7556,59.5133,59.5292,59.4129,9.23,9.27,9.31,9.23,9.13,9.22,9.28,9.3,9.29,9.19,6964.86,6896.09,6925.93,7022.96,6971.55,1940.14,1919.53,1916.75,1945.12,1933.1,9.23,9.19,9.15,9.14,8.95,1.49,1.49,1.51,1.52,1.51,-24159457362.31889,-20156957362.31889,-15493472362.318876,-10834067362.318876,-9802967666.6667,-0.21715526601521162,-0.5399568034557092,-0.43010752688172715,1.639344262295083,-22.756264896316807,11.208405365062717,37.53081186894886,-0.793252334571747,0.9119464991387218,1.2308954764590965,0.7856921327406496,0.701660076814818,1.130194064335214,0.8185253562568562,-0.44670613456322883,0.9500364819364364,0.4071358839116641,-0.02670958118032729,0.1957487347024056,-0.431499460625659,-0.4296455424275081,0.8667388949079111,1.095290251916751,-0.6465517241379217,-0.2150537634408778,0.10764262648011425,1.0881392818280773,0.9972317646666369,-0.4308446663480652,-1.3816111724970597,0.7374256800854795,1.0737003328940062,0.14503717229685265,-1.458521839269551,0.62179918265997,0.43525571273124797,0.437158469945345,0.10940919037199137,2.1229050279329726,0.0,-1.324503311258269,-0.6578947368420955,0.6622516556291487,19.856667492298286,30.099676114838587,43.006978304431755,10.518240299396808,9.219999999999999,0.5,9.260000000000002,9.2725,9.1775,0.3741301720641417,3,0,0.6325503355704698,9.252028845534914,9.227971154465083,9.424799999999998,9.0552,9.16279052734375
2017-08-03,0,4,9.09,9.19,9.21,9.26,9.3,5745400000,4002500000,5181650000,4659405000,3387899000,27,30,0,0,0,0,1,49.1,49.4,49.795,49.345,48.74500000000001,71.654,71.1855,70.6895,69.8995,69.332,60.5315,60.3233,59.7556,59.5133,59.5292,9.1,9.23,9.27,9.31,9.23,9.15,9.22,9.28,9.3,9.29,7087.33,6964.86,6896.09,6925.93,7022.96,1965.48,1940.14,1919.53,1916.75,1945.12,8.96,9.23,9.19,9.15,9.14,1.51,1.49,1.49,1.51,1.52,-29904857362.31889,-24159457362.31889,-20156957362.31889,-15493472362.318876,-10834067362.318876,-1.0881392818280773,-0.21715526601521162,-0.5399568034557092,-0.43010752688172715,43.545284197376645,-22.756264896316807,11.208405365062717,-0.6072874493927003,-0.793252334571747,0.9119464991387218,1.2308954764590965,0.6581396492262996,0.701660076814818,1.130194064335214,0.8185253562568562,0.34514026918289176,0.9500364819364364,0.4071358839116641,-0.02670958118032729,-1.4084507042253591,-0.431499460625659,-0.4296455424275081,0.8667388949079111,-0.7592190889370869,-0.6465517241379217,-0.2150537634408778,0.10764262648011425,1.7583985894906675,0.9972317646666369,-0.4308446663480652,-1.3816111724970597,1.306091312998035,1.0737003328940062,0.14503717229685265,-1.458521839269551,-2.9252437703141965,0.43525571273124797,0.437158469945345,0.10940919037199137,1.3422818791946298,0.0,-1.324503311258269,-0.6578947368420955,23.781163268016954,19.856667492298286,30.099676114838587,43.006978304431755,9.163333333333334,0.3333333333333333,9.2275,9.2375,9.1325,-0.13149289419450838,4,0,0.6325503355704698,9.199528845534916,9.175471154465084,9.37125,9.00375,9.144592895507813
2017-08-04,0,5,8.98,9.09,9.19,9.21,9.26,5598335000,5745400000,4002500000,5181650000,4659405000,52,27,0,0,0,0,0,49.37000000000001,49.1,49.4,49.795,49.345,71.541,71.654,71.1855,70.6895,69.8995,60.3259,60.5315,60.3233,59.7556,59.5133,9.08,9.1,9.23,9.27,9.31,9.06,9.15,9.22,9.28,9.3,7078.26,7087.33,6964.86,6896.09,6925.93,1965.29,1965.48,1940.14,1919.53,1916.75,9.07,8.96,9.23,9.19,9.15,1.48,1.51,1.49,1.49,1.51,-35503192362.31889,-29904857362.31889,-24159457362.31889,-20156957362.31889,-15493472362.318876,-1.2101210121012116,-1.0881392818280773,-0.21715526601521162,-0.5399568034557092,-2.5596999338601307,43.545284197376645,-22.756264896316807,0.5498981670061198,-0.6072874493927003,-0.793252334571747,0.9119464991387218,-0.15770229156780147,0.6581396492262996,0.701660076814818,1.130194064335214,-0.33965786408730025,0.34514026918289176,0.9500364819364364,0.4071358839116641,-0.219780219780219,-1.4084507042253591,-0.431499460625659,-0.4296455424275081,-0.983606557377044,-0.7592190889370869,-0.6465517241379217,-0.2150537634408778,-0.127974850895896,1.7583985894906675,0.9972317646666369,-0.4308446663480652,-0.009666849828036561,1.306091312998035,1.0737003328940062,0.14503717229685265,1.2276785714285552,-2.9252437703141965,0.43525571273124797,0.437158469945345,-1.9867549668874176,1.3422818791946298,0.0,-1.324503311258269,18.720487217752435,23.781163268016954,19.856667492298286,30.099676114838587,9.086666666666666,0.16666666666666666,9.17,9.1775,9.1125,-0.6978440377587845,5,0,0.3825503355704698,9.129528845534916,9.105471154465084,9.29985,8.93515,9.10344467163086
2017-08-07,0,1,8.44,8.98,9.09,9.19,9.21,4233004060,5598335000,5745400000,4002500000,5181650000,39,52,0,0,0,0,0,49.07,49.37000000000001,49.1,49.4,49.795,70.5428,71.541,71.654,71.1855,70.6895,59.901,60.3259,60.5315,60.3233,59.7556,9.57,9.08,9.1,9.23,9.27,8.81,9.06,9.15,9.22,9.28,7024.51,7078.26,7087.33,6964.86,6896.09,1953.49,1965.29,1965.48,1940.14,1919.53,8.9,9.07,8.96,9.23,9.19,1.49,1.48,1.51,1.49,1.49,-39446264637.38739,-35503192362.31889,-29904857362.31889,-24159457362.31889,-20156957362.31889,-6.0133630289532505,-1.2101210121012116,-1.0881392818280773,-0.21715526601521162,-24.388160765656224,-2.5596999338601307,43.545284197376645,-0.6076564715414463,0.5498981670061198,-0.6072874493927003,-0.793252334571747,-1.39528382326219,-0.15770229156780147,0.6581396492262996,0.701660076814818,-0.704340921561041,-0.33965786408730025,0.34514026918289176,0.9500364819364364,5.396475770925107,-0.219780219780219,-1.4084507042253591,-0.431499460625659,-2.7593818984547482,-0.983606557377044,-0.7592190889370869,-0.6465517241379217,-0.759367415155694,-0.127974850895896,1.7583985894906675,0.9972317646666369,-0.6004202942059322,-0.009666849828036561,1.306091312998035,1.0737003328940062,-1.8743109151047435,1.2276785714285552,-2.9252437703141965,0.43525571273124797,0.6756756756756772,-1.9867549668874176,1.3422818791946298,0.0,11.106247108227521,18.720487217752435,23.781163268016954,19.856667492298286,8.836666666666668,0.0,9.245000000000001,9.06,9.04,-1.8373459557203375,6,0,0.5060402684563758,8.937028845534916,8.912971154465085,9.1035,8.746500000000001,8.937583503723145
2017-08-08,1,2,8.42,8.44,8.98,9.09,9.19,4240150000,4233004060,5598335000,5745400000,4002500000,34,39,0,0,0,0,0,49.025,49.07,49.37000000000001,49.1,49.4,70.7755,70.5428,71.541,71.654,71.1855,60.017,59.901,60.3259,60.5315,60.3233,8.4,9.57,9.08,9.1,9.23,8.64,8.81,9.06,9.15,9.22,7104.92,7024.51,7078.26,7087.33,6964.86,1970.37,1953.49,1965.29,1965.48,1940.14,8.82,8.9,9.07,8.96,9.23,1.47,1.49,1.48,1.51,1.49,-43582996344.70447,-39446264637.38739,-35503192362.31889,-29904857362.31889,-24159457362.31889,-0.23696682464454,-6.0133630289532505,-1.2101210121012116,-1.0881392818280773,0.16881486288960446,-24.388160765656224,-2.5596999338601307,-0.09170572651314046,-0.6076564715414463,0.5498981670061198,-0.6072874493927003,0.3298706600815251,-1.39528382326219,-0.15770229156780147,0.6581396492262996,0.19365286055324304,-0.704340921561041,-0.33965786408730025,0.34514026918289176,-12.225705329153598,5.396475770925107,-0.219780219780219,-1.4084507042253591,-1.9296254256526737,-2.7593818984547482,-0.983606557377044,-0.7592190889370869,1.1447061787939674,-0.759367415155694,-0.127974850895896,1.7583985894906675,0.8640945180164579,-0.6004202942059322,-0.009666849828036561,1.306091312998035,-0.8988764044943878,-1.8743109151047435,1.2276785714285552,-2.9252437703141965,-1.3422818791946298,0.6756756756756772,-1.9867549668874176,1.3422818791946298,10.487004904885879,11.106247108227521,18.720487217752435,23.781163268016954,8.613333333333333,0.0,9.0375,8.915000000000001,8.9375,-1.7776111648454673,7,0,0.5060402684563758,8.744528845534916,8.720471154465084,8.90715,8.55785,8.808187627792359
2017-08-09,1,3,8.47,8.42,8.44,8.98,9.09,4533000000,4240150000,4233004060,5598335000,5745400000,34,34,1,0,0,0,0,49.325,49.025,49.07,49.37000000000001,49.1,70.303,70.7755,70.5428,71.541,71.654,59.8633,60.017,59.901,60.3259,60.5315,8.67,8.4,9.57,9.08,9.1,8.67,8.64,8.81,9.06,9.15,7190.68,7104.92,7024.51,7078.26,7087.33,1989.61,1970.37,1953.49,1965.29,1965.48,8.59,8.82,8.9,9.07,8.96,1.47,1.47,1.49,1.48,1.51,-48115996344.70447,-43582996344.70447,-39446264637.38739,-35503192362.31889,-29904857362.31889,0.5938242280285237,-0.23696682464454,-6.0133630289532505,-1.2101210121012116,6.906595285544142,0.16881486288960446,-24.388160765656224,0.6119326874044049,-0.09170572651314046,-0.6076564715414463,0.5498981670061198,-0.6676039024803799,0.3298706600815251,-1.39528382326219,-0.15770229156780147,-0.25609410666977794,0.19365286055324304,-0.704340921561041,-0.33965786408730025,3.214285714285708,-12.225705329153598,5.396475770925107,-0.219780219780219,0.3472222222222143,-1.9296254256526737,-2.7593818984547482,-0.983606557377044,1.2070508886799587,1.1447061787939674,-0.759367415155694,-0.127974850895896,0.9764663489598462,0.8640945180164579,-0.6004202942059322,-0.009666849828036561,-2.6077097505668974,-0.8988764044943878,-1.8743109151047435,1.2276785714285552,0.0,-1.3422818791946298,0.6756756756756772,-1.9867549668874176,10.40084523823883,10.487004904885879,11.106247108227521,18.720487217752435,8.443333333333333,0.16666666666666666,8.93,8.795000000000002,8.845,-1.61846830196923,0,1,0.5060402684563758,8.589528845534916,8.565471154465085,8.74905,8.40595,8.72364072084427
2017-08-10,0,4,8.78,8.47,8.42,8.44,8.98,3877000000,4533000000,4240150000,4233004060,5598335000,29,34,1,1,0,0,0,49.32,49.325,49.025,49.07,49.37000000000001,70.5769,70.303,70.7755,70.5428,71.541,60.1568,59.8633,60.017,59.901,60.3259,8.79,8.67,8.4,9.57,9.08,8.85,8.67,8.64,8.81,9.06,7165.14,7190.68,7104.92,7024.51,7078.26,1975.91,1989.61,1970.37,1953.49,1965.29,8.76,8.59,8.82,8.9,9.07,1.46,1.47,1.47,1.49,1.48,-51992996344.70447,-48115996344.70447,-43582996344.70447,-39446264637.38739,-35503192362.31889,3.6599763872491025,0.5938242280285237,-0.23696682464454,-6.0133630289532505,-14.471652327377015,6.906595285544142,0.16881486288960446,-0.010136847440449515,0.6119326874044049,-0.09170572651314046,-0.6076564715414463,0.38959930586177904,-0.6676039024803799,0.3298706600815251,-1.39528382326219,0.4902836963548367,-0.25609410666977794,0.19365286055324304,-0.704340921561041,1.3840830449827024,3.214285714285708,-12.225705329153598,5.396475770925107,2.0761245674740394,0.3472222222222143,-1.9296254256526737,-2.7593818984547482,-0.3551819855702121,1.2070508886799587,1.1447061787939674,-0.759367415155694,-0.6885771583375515,0.9764663489598462,0.8640945180164579,-0.6004202942059322,1.9790454016298042,-2.6077097505668974,-0.8988764044943878,-1.8743109151047435,-0.6802721088435391,0.0,-1.3422818791946298,0.6756756756756772,8.057611386086762,10.40084523823883,10.487004904885879,11.106247108227521,8.556666666666667,0.3333333333333333,8.8575,8.7425,8.7675,-0.6915675995178816,0,2,0.5060402684563758,8.539528845534916,8.515471154465084,8.69805,8.35695,8.737730540633201
2017-08-11,0,5,8.75,8.78,8.47,8.42,8.44,3959499750,3877000000,4533000000,4240150000,4233004060,31,29,0,1,1,0,0,49.16,49.32,49.325,49.025,49.07,70.694,70.5769,70.303,70.7755,70.5428,60.1117,60.1568,59.8633,60.017,59.901,8.8,8.79,8.67,8.4,9.57,8.81,8.85,8.67,8.64,8.81,7075.44,7165.14,7190.68,7104.92,7024.51,1960.23,1975.91,1989.61,1970.37,1953.49,9.06,8.76,8.59,8.82,8.9,1.44,1.46,1.47,1.47,1.49,-54336373747.7657,-51992996344.70447,-48115996344.70447,-43582996344.70447,-39446264637.38739,-0.3416856492027307,3.6599763872491025,0.5938242280285237,-0.23696682464454,2.1279275212793465,-14.471652327377015,6.906595285544142,-0.32441200324412023,-0.010136847440449515,0.6119326874044049,-0.09170572651314046,0.1659183103820112,0.38959930586177904,-0.6676039024803799,0.3298706600815251,-0.0749707431246378,0.4902836963548367,-0.25609410666977794,0.19365286055324304,0.11376564277590262,1.3840830449827024,3.214285714285708,-12.225705329153598,-0.45197740112993756,2.0761245674740394,0.3472222222222143,-1.9296254256526737,-1.2518945896381695,-0.3551819855702121,1.2070508886799587,1.1447061787939674,-0.793558411061241,-0.6885771583375515,0.9764663489598462,0.8640945180164579,3.4246575342465917,1.9790454016298042,-2.6077097505668974,-0.8988764044943878,-1.3698630136986338,-0.6802721088435391,0.0,-1.3422818791946298,4.507102047985569,8.057611386086762,10.40084523823883,10.487004904885879,8.666666666666666,0.3333333333333333,8.665,8.7425,8.807500000000001,-0.5175795561028309,1,0,0.30604026845637583,8.617028845534916,8.592971154465085,8.7771,8.4329,8.740797905474901
2017-08-14,1,1,8.47,8.75,8.78,8.47,8.42,3853500000,3959499750,3877000000,4533000000,4240150000,30,31,0,0,1,1,0,48.48,49.16,49.32,49.325,49.025,70.6997,70.694,70.5769,70.303,70.7755,59.8315,60.1117,60.1568,59.8633,60.017,8.77,8.8,8.79,8.67,8.4,8.61,8.81,8.85,8.67,8.64,7055.36,7075.44,7165.14,7190.68,7104.92,1944.83,1960.23,1975.91,1989.61,1970.37,8.94,9.06,8.76,8.59,8.82,1.4,1.44,1.46,1.47,1.47,-53372998747.7657,-54336373747.7657,-51992996344.70447,-48115996344.70447,-43582996344.70447,-3.1999999999999886,-0.3416856492027307,3.6599763872491025,0.5938242280285237,-2.6770995502651544,2.1279275212793465,-14.471652327377015,-1.3832384052074929,-0.32441200324412023,-0.010136847440449515,0.6119326874044049,0.008062919059611318,0.1659183103820112,0.38959930586177904,-0.6676039024803799,-0.4661322171889992,-0.0749707431246378,0.4902836963548367,-0.25609410666977794,-0.3409090909091077,0.11376564277590262,1.3840830449827024,3.214285714285708,-2.270147559591379,-0.45197740112993756,2.0761245674740394,0.3472222222222143,-0.28379860475108387,-1.2518945896381695,-0.3551819855702121,1.2070508886799587,-0.7856220953663637,-0.793558411061241,-0.6885771583375515,0.9764663489598462,-1.3245033112582831,3.4246575342465917,1.9790454016298042,-2.6077097505668974,-2.7777777777777857,-1.3698630136986338,-0.6802721088435391,0.0,-1.7729836084978245,4.507102047985569,8.057611386086762,10.40084523823883,8.666666666666666,0.3333333333333333,8.7575,8.735000000000001,8.837499999999999,0.07098918652638986,2,0,0.4217002237136465,8.629528845534916,8.605471154465084,8.78985,8.44515,8.673098429106176
2017-08-15,1,2,8.5,8.47,8.75,8.78,8.47,3725000000,3853500000,3959499750,3877000000,4533000000,24,30,1,0,0,1,1,48.295,48.48,49.16,49.32,49.325,70.5176,70.6997,70.694,70.5769,70.303,59.9178,59.8315,60.1117,60.1568,59.8633,8.64,8.77,8.8,8.79,8.67,8.5,8.61,8.81,8.85,8.67,7126.04,7055.36,7075.44,7165.14,7190.68,1951.75,1944.83,1960.23,1975.91,1989.61,8.71,8.94,9.06,8.76,8.59,1.41,1.4,1.44,1.46,1.47,-53479427319.19428,-53372998747.7657,-54336373747.7657,-51992996344.70447,-48115996344.70447,0.35419126328216066,-3.1999999999999886,-0.3416856492027307,3.6599763872491025,-3.3346308550668198,-2.6770995502651544,2.1279275212793465,-0.3816006600659989,-1.3832384052074929,-0.32441200324412023,-0.010136847440449515,-0.2575682782246673,0.008062919059611318,0.1659183103820112,0.38959930586177904,0.1442384028480035,-0.4661322171889992,-0.0749707431246378,0.4902836963548367,-1.4823261117445696,-0.3409090909091077,0.11376564277590262,1.3840830449827024,-1.2775842044134578,-2.270147559591379,-0.45197740112993756,2.0761245674740394,1.0017915457184472,-0.28379860475108387,-1.2518945896381695,-0.3551819855702121,0.35581516122232415,-0.7856220953663637,-0.793558411061241,-0.6885771583375515,-2.5727069351230227,-1.3245033112582831,3.4246575342465917,1.9790454016298042,0.7142857142857082,-2.7777777777777857,-1.3698630136986338,-0.6802721088435391,0.19940526844210638,-1.7729836084978245,4.507102047985569,8.057611386086762,8.573333333333332,0.5,8.75,8.6925,8.8675,0.18930566219405875,0,1,0.5883668903803132,8.637028845534916,8.612971154465084,8.7975,8.4525,8.629823821829632
2017-08-16,0,3,8.55,8.5,8.47,8.75,8.78,4576600000,3725000000,3853500000,3959499750,3877000000,35,24,1,1,0,0,1,47.605,48.295,48.48,49.16,49.32,70.0348,70.5176,70.6997,70.694,70.5769,59.6937,59.9178,59.8315,60.1117,60.1568,8.6,8.64,8.77,8.8,8.79,8.51,8.5,8.61,8.81,8.85,7146.44,7126.04,7055.36,7075.44,7165.14,1950.28,1951.75,1944.83,1960.23,1975.91,8.74,8.71,8.94,9.06,8.76,1.39,1.41,1.4,1.44,1.46,-57039005096.97204,-53479427319.19428,-53372998747.7657,-54336373747.7657,-51992996344.70447,0.5882352941176521,0.35419126328216066,-3.1999999999999886,-0.3416856492027307,22.861744966442956,-3.3346308550668198,-2.6770995502651544,-1.428719329123112,-0.3816006600659989,-1.3832384052074929,-0.32441200324412023,-0.684651774876059,-0.2575682782246673,0.008062919059611318,0.1659183103820112,-0.374012396983872,0.1442384028480035,-0.4661322171889992,-0.0749707431246378,-0.4629629629629761,-1.4823261117445696,-0.3409090909091077,0.11376564277590262,0.1176470588235361,-1.2775842044134578,-2.270147559591379,-0.45197740112993756,0.2862740035138671,1.0017915457184472,-0.28379860475108387,-1.2518945896381695,-0.07531702318431144,0.35581516122232415,-0.7856220953663637,-0.793558411061241,0.34443168771525734,-2.5727069351230227,-1.3245033112582831,3.4246575342465917,-1.418439716312065,0.7142857142857082,-2.7777777777777857,-1.3698630136986338,6.65597586999624,0.19940526844210638,-1.7729836084978245,4.507102047985569,8.506666666666668,0.6666666666666666,8.7025,8.6075,8.8625,0.18819234563241594,0,2,0.5883668903803132,8.579528845534917,8.555471154465085,8.738850000000001,8.39615,8.609867866372223
2017-08-17,1,4,8.45,8.55,8.5,8.47,8.75,7706000000,4576600000,3725000000,3853500000,3959499750,43,35,0,1,1,0,0,47.485,47.605,48.295,48.48,49.16,69.8506,70.0348,70.5176,70.6997,70.694,59.3747,59.6937,59.9178,59.8315,60.1117,8.75,8.6,8.64,8.77,8.8,8.69,8.51,8.5,8.61,8.81,7113.07,7146.44,7126.04,7055.36,7075.44,1942.88,1950.28,1951.75,1944.83,1960.23,8.65,8.74,8.71,8.94,9.06,1.44,1.39,1.41,1.4,1.44,-57440739694.12843,-57039005096.97204,-53479427319.19428,-53372998747.7657,-54336373747.7657,-1.1695906432748586,0.5882352941176521,0.35419126328216066,-3.1999999999999886,68.37827207970983,22.861744966442956,-3.3346308550668198,-0.2520743619367636,-1.428719329123112,-0.3816006600659989,-1.3832384052074929,-0.2630121025547396,-0.684651774876059,-0.2575682782246673,0.008062919059611318,-0.5343947518749843,-0.374012396983872,0.1442384028480035,-0.4661322171889992,1.7441860465116292,-0.4629629629629761,-1.4823261117445696,-0.3409090909091077,2.1151586368977746,0.1176470588235361,-1.2775842044134578,-2.270147559591379,-0.4669457799967489,0.2862740035138671,1.0017915457184472,-0.28379860475108387,-0.3794326968435229,-0.07531702318431144,0.35581516122232415,-0.7856220953663637,-1.0297482837528662,0.34443168771525734,-2.5727069351230227,-1.3245033112582831,3.597122302158269,-1.418439716312065,0.7142857142857082,-2.7777777777777857,0.7043155757597788,6.65597586999624,0.19940526844210638,-1.7729836084978245,8.5,0.5,8.690000000000001,8.5775,8.76,-0.7632715009559234,1,0,0.4217002237136465,8.504528845534916,8.480471154465084,8.66235,8.32265,8.569900899779167
